# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C no_CAMI -g 3 -p | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/gene/sunzheng/tools/mOTUs_v2-master/motus profile -f /mnt/5-ds60t/sunzheng/zm/QIBEBT/2B-RAD/P3/software_test_2020.1220/data/sample1.left.fq.gz -r /mnt/5-ds60t/sunzheng/zm/QIBEBT/2B-RAD/P3/software_test_2020.1220/data/sample1.right.fq.gz -p -t 8 -o mOTUs2/Gut1_mOTUs2.txt
#consensus_taxonomy	NCBI_tax_id	unnamed sample
Pseudomonas sp. [ref_mOTU_v25_00120]	NA	0.0000000000
Pseudomonas mucidolens [ref_mOTU_v25_00121]	46679	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00122]	NA	0.0000000000
Pseudomonas fluorescens/yamanorum [ref_mOTU_v25_00123]	NA	0.0000000000
Pseudomonas sp. KG01 [ref_mOTU_v25_00124]	1674920	0.0000000000
Pseudomonas fluorescens/rhodesiae [ref_mOTU_v25_00125]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00126]	NA	0.0000000000
Pseudomonas palleroniana/fluorescens [ref_mOTU_v25_00127]	NA	0.0000000000
Pseudomonas cedrina/orientalis [ref_mOTU_v25_00128]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00129]	NA	0.0000000000
Pseudomonas marginalis [ref_mOTU_v25_00130]	298	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00131]	NA	0.0000000000
Pseudomonas fluorescens [ref_mOTU_v25_00132]	294	0.0000000000
Proteobacteria sp. [ref_mOTU_v25_00133]	NA	0.0000000000
Pseudomonas sp. RIT357 [ref_mOTU_v25_00134]	1470593	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00135]	NA	0.0000000000
Pseudomonas sp. BIOMIG1N [ref_mOTU_v25_00136]	1763882	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00137]	NA	0.0000000000
Pseudomonas sp. PH1b [ref_mOTU_v25_00138]	1397282	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00139]	587753	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00140]	587753	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00141]	587753	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00142]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00144]	NA	0.0000000000
Pseudomonas sp. Pf153 [ref_mOTU_v25_00145]	1699309	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00146]	NA	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00147]	587753	0.0000000000
Pseudomonas mediterranea/corrugata [ref_mOTU_v25_00148]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00149]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00150]	NA	0.0000000000
Pseudomonas sp. Leaf48 [ref_mOTU_v25_00151]	1736221	0.0000000000
Pseudomonas moorei/mohnii [ref_mOTU_v25_00152]	NA	0.0000000000
Pseudomonas sp. KK4 [ref_mOTU_v25_00153]	1855729	0.0000000000
Pseudomonas fluorescens/jessenii [ref_mOTU_v25_00154]	NA	0.0000000000
Pseudomonas sp. R37(2017) [ref_mOTU_v25_00155]	1981685	0.0000000000
Pseudomonas vancouverensis [ref_mOTU_v25_00156]	95300	0.0000000000
Pseudomonas sp. P1.8 [ref_mOTU_v25_00157]	1699310	0.0000000000
Pseudomonas frederiksbergensis/fluorescens [ref_mOTU_v25_00158]	NA	0.0000000000
Pseudomonas sp. Ant30-3 [ref_mOTU_v25_00159]	1488328	0.0000000000
Pseudomonas sp. ES3-33 [ref_mOTU_v25_00160]	1628833	0.0000000000
Pseudomonas umsongensis/mandelii [ref_mOTU_v25_00161]	NA	0.0000000000
Pseudomonas silesiensis [ref_mOTU_v25_00162]	1853130	0.0000000000
Pseudomonas fluorescens/migulae [ref_mOTU_v25_00163]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00164]	NA	0.0000000000
Pseudomonas prosekii [ref_mOTU_v25_00165]	1148509	0.0000000000
Pseudomonas fluorescens [ref_mOTU_v25_00166]	294	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00167]	NA	0.0000000000
Pseudomonas koreensis/fluorescens [ref_mOTU_v25_00168]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00169]	NA	0.0000000000
Pseudomonas fluorescens/putida [ref_mOTU_v25_00170]	NA	0.0000000000
Pseudomonas fluorescens [ref_mOTU_v25_00171]	294	0.0000000000
Pseudomonas sp. URHB0015 [ref_mOTU_v25_00172]	1380376	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00173]	303	0.0000000000
Pseudomonas japonica [ref_mOTU_v25_00174]	256466	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00175]	303	0.0000000000
Pseudomonas donghuensis/putida [ref_mOTU_v25_00176]	NA	0.0000000000
Pseudomonas alkylphenolica [ref_mOTU_v25_00177]	237609	0.0000000000
Pseudomonas vranovensis [ref_mOTU_v25_00178]	321661	0.0000000000
Pseudomonas cremoricolorata [ref_mOTU_v25_00179]	157783	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00180]	NA	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00181]	303	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00182]	NA	0.0000000000
Pseudomonas taiwanensis [ref_mOTU_v25_00183]	470150	0.0000000000
Pseudomonas parafulva [ref_mOTU_v25_00184]	157782	0.0000000000
Pseudomonas capeferrum [ref_mOTU_v25_00185]	1495066	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00186]	303	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00187]	NA	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00188]	NA	0.0000000000
Pseudomonas sp. Leaf58 [ref_mOTU_v25_00189]	1736226	0.0000000000
Pseudomonas plecoglossicida [ref_mOTU_v25_00190]	70775	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00191]	303	0.0000000000
Pseudomonas sp. NBRC 111131 [ref_mOTU_v25_00192]	1661046	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00193]	303	0.0000000000
Pseudomonas monteilii [ref_mOTU_v25_00194]	76759	0.0000000000
Pseudomonas soli/mosselii [ref_mOTU_v25_00195]	NA	0.0000000000
Pseudomonas putida/mosselii [ref_mOTU_v25_00196]	NA	0.0000000000
Pseudomonas entomophila [ref_mOTU_v25_00197]	312306	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00198]	303	0.0000000000
Pseudomonas parafulva [ref_mOTU_v25_00199]	157782	0.0000000000
Pseudomonas monteilii [ref_mOTU_v25_00200]	76759	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00201]	NA	0.0000000000
Pseudomonas nitroreducens [ref_mOTU_v25_00202]	46680	0.0000000000
Pseudomonas nitroreducens [ref_mOTU_v25_00203]	46680	0.0000000000
Pseudomonas sp. ATCC 13867 [ref_mOTU_v25_00204]	1294143	0.0000000000
Pseudomonas jinjuensis [ref_mOTU_v25_00205]	198616	0.0000000000
Pseudomonas delhiensis/citronellolis [ref_mOTU_v25_00206]	NA	0.0000000000
Pseudomonas knackmussii [ref_mOTU_v25_00207]	65741	0.0000000000
Pseudomonas panipatensis [ref_mOTU_v25_00208]	428992	0.0000000000
Balneatrix alpica [ref_mOTU_v25_00209]	75684	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00210]	316	0.0000000000
Pseudomonas sp. Chol1 [ref_mOTU_v25_00211]	440512	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00212]	316	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00213]	316	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00214]	316	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00215]	NA	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00216]	316	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00217]	316	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00218]	316	0.0000000000
Pseudomonas sp. BAY1663 [ref_mOTU_v25_00219]	1439940	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00220]	316	0.0000000000
Pseudomonas xanthomarina/stutzeri [ref_mOTU_v25_00221]	NA	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00222]	316	0.0000000000
Pseudomonas azotifigens [ref_mOTU_v25_00223]	291995	0.0000000000
Pseudomonas indica [ref_mOTU_v25_00224]	137658	0.0000000000
Pseudomonas kuykendallii [ref_mOTU_v25_00225]	1007099	0.0000000000
Pseudomonas alcaligenes [ref_mOTU_v25_00226]	43263	0.0000000000
Pseudomonas alcaligenes [ref_mOTU_v25_00227]	43263	0.0000000000
Pseudomonas sp. ML96 [ref_mOTU_v25_00228]	1523503	0.0000000000
Pseudomonas sp. BMS12 [ref_mOTU_v25_00229]	1796033	0.0000000000
Pseudomonas sp. CC6-YY-74 [ref_mOTU_v25_00230]	1930532	0.0000000000
Pseudomonas borbori [ref_mOTU_v25_00231]	289003	0.0000000000
Pseudomonas benzenivorans [ref_mOTU_v25_00232]	556533	0.0000000000
Pseudomonas oleovorans/pseudoalcaligenes [ref_mOTU_v25_00233]	NA	0.0000000000
Pseudomonas pseudoalcaligenes/composti [ref_mOTU_v25_00234]	NA	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00235]	NA	0.0000000000
Pseudomonas composti [ref_mOTU_v25_00236]	658457	0.0000000000
Pseudomonas mendocina [ref_mOTU_v25_00237]	300	0.0000000000
Pseudomonas guguanensis/mendocina [ref_mOTU_v25_00238]	NA	0.0000000000
Pseudomonas oleovorans [ref_mOTU_v25_00239]	301	0.0000000000
Pseudomonas punonensis/seleniipraecipitans [ref_mOTU_v25_00240]	NA	0.0000000000
Pseudomonas flavescens [ref_mOTU_v25_00241]	29435	0.0000000000
Pseudomonas fulva [ref_mOTU_v25_00242]	47880	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00243]	NA	0.0000000000
Pseudomonas punonensis [ref_mOTU_v25_00244]	1220495	0.0000000000
Pseudomonas argentinensis [ref_mOTU_v25_00245]	289370	0.0000000000
Pseudomonas thermotolerans [ref_mOTU_v25_00246]	157784	0.0000000000
Pseudomonas flexibilis [ref_mOTU_v25_00247]	706570	0.0000000000
Halotalea alkalilenta [ref_mOTU_v25_00248]	376489	0.0000000000
Cobetia marina [ref_mOTU_v25_00249]	28258	0.0000000000
Cobetia amphilecti [ref_mOTU_v25_00250]	1055104	0.0000000000
Cobetia crustatorum [ref_mOTU_v25_00251]	553385	0.0000000000
Sphingobacterium sp. ML3W [ref_mOTU_v25_00252]	1538644	0.0000000000
Sphingobacterium sp. PM2-P1-29 [ref_mOTU_v25_00253]	403776	0.0000000000
Weissella confusa [ref_mOTU_v25_00254]	1583	0.0000000000
Weissella cibaria [ref_mOTU_v25_00255]	137591	0.0030923576
Synechocystis sp. PCC 6803 [ref_mOTU_v25_00256]	1148	0.0000000000
Synechocystis sp. PCC 6714 [ref_mOTU_v25_00257]	1147	0.0000000000
Acinetobacter tandoii [ref_mOTU_v25_00258]	202954	0.0000000000
Bacteria sp. [ref_mOTU_v25_00259]	NA	0.0000000000
Acinetobacter sp. [ref_mOTU_v25_00260]	NA	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00261]	NA	0.0000000000
Acinetobacter oleivorans/calcoaceticus [ref_mOTU_v25_00262]	NA	0.0000000000
Acinetobacter parvus [ref_mOTU_v25_00263]	134533	0.0000000000
Acinetobacter haemolyticus [ref_mOTU_v25_00264]	29430	0.0000000000
Acinetobacter junii [ref_mOTU_v25_00265]	40215	0.0000000000
Acinetobacter haemolyticus/venetianus [ref_mOTU_v25_00266]	NA	0.0000000000
Acinetobacter parvus [ref_mOTU_v25_00267]	134533	0.0000000000
Acinetobacter baumannii [ref_mOTU_v25_00268]	470	0.0000000000
Acinetobacter sp. [ref_mOTU_v25_00269]	NA	0.0000000000
Acinetobacter colistiniresistens [ref_mOTU_v25_00270]	280145	0.0000000000
Acinetobacter sp. [ref_mOTU_v25_00271]	NA	0.0000000000
Acinetobacter gyllenbergii/proteolyticus [ref_mOTU_v25_00272]	NA	0.0000000000
Acinetobacter sp. A47 [ref_mOTU_v25_00273]	1561217	0.0000000000
Acinetobacter tjernbergiae [ref_mOTU_v25_00274]	202955	0.0000000000
Acinetobacter beijerinckii [ref_mOTU_v25_00275]	262668	0.0000000000
Peptoniphilus lacrimalis [ref_mOTU_v25_00276]	33031	0.0000000000
Bacillaceae sp. [ref_mOTU_v25_00277]	NA	0.0000000000
Bacteria sp. [ref_mOTU_v25_00278]	NA	0.0000000000
Bacillus sp. MSP13 [ref_mOTU_v25_00279]	1071061	0.0000000000
Bacillus nakamurai [ref_mOTU_v25_00280]	1793963	0.0000000000
Bacillales sp. [ref_mOTU_v25_00281]	NA	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00282]	NA	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00283]	NA	0.0000000000
Streptococcus pseudopneumoniae [ref_mOTU_v25_00284]	257758	0.0000000000
Streptococcus mitis [ref_mOTU_v25_00285]	28037	0.0000000000
Streptococcus sp. SK643 [ref_mOTU_v25_00286]	1095727	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00287]	1303	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00288]	1303	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00289]	1303	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00290]	1303	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00291]	1303	0.0000000000
Streptococcus oralis/mitis [ref_mOTU_v25_00292]	NA	0.0000000000
Streptococcus sp. oral taxon 058 [ref_mOTU_v25_00293]	712622	0.0000000000
Streptococcus oralis/mitis [ref_mOTU_v25_00294]	NA	0.0000000000
Streptococcus pseudopneumoniae [ref_mOTU_v25_00295]	257758	0.0000000000
Streptococcus oralis/pseudopneumoniae [ref_mOTU_v25_00296]	NA	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00297]	1303	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00298]	1303	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00299]	1303	0.0000000000
Streptococcus peroris [ref_mOTU_v25_00300]	68891	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00301]	NA	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00302]	68892	0.0000000000
Streptococcus sp. HMSC067H01 [ref_mOTU_v25_00303]	1739491	0.0000000000
Streptococcus sp. HPH0090 [ref_mOTU_v25_00304]	1203590	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00305]	68892	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00306]	68892	0.0000000000
Streptococcus pseudopneumoniae/infantis [ref_mOTU_v25_00307]	NA	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00308]	68892	0.0000000000
Streptococcus timonensis [ref_mOTU_v25_00309]	1852387	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00310]	NA	0.0000000000
Streptococcus australis [ref_mOTU_v25_00311]	113107	0.0046354612
Streptococcus parasanguinis [ref_mOTU_v25_00312]	1318	0.0019658342
Streptococcus sp. F0442 [ref_mOTU_v25_00313]	999425	0.0000000000
Streptococcus equi [ref_mOTU_v25_00314]	1336	0.0000000000
Streptococcus pyogenes [ref_mOTU_v25_00315]	1314	0.0000000000
Streptococcus dysgalactiae [ref_mOTU_v25_00316]	1334	0.0000000000
Streptococcus canis [ref_mOTU_v25_00317]	1329	0.0000000000
Bacteria sp. [ref_mOTU_v25_00318]	NA	0.0000000000
Enterococcus mundtii/pernyi [ref_mOTU_v25_00319]	NA	0.0000000000
Enterococcus sp. 10A9_DIV0425 [ref_mOTU_v25_00320]	1987383	0.0000000000
Bacteria sp. [ref_mOTU_v25_00321]	NA	0.0043163679
Enterococcus faecium [ref_mOTU_v25_00322]	1352	0.0000000000
Enterococcus faecium/durans [ref_mOTU_v25_00323]	NA	0.0000000000
Enterococcus faecium/hirae [ref_mOTU_v25_00324]	NA	0.0000000000
Enterococcus villorum [ref_mOTU_v25_00325]	112904	0.0000000000
Bacillus sp. [ref_mOTU_v25_00326]	NA	0.0000000000
Bacillus cytotoxicus [ref_mOTU_v25_00327]	580165	0.0000000000
Bacillus sp. [ref_mOTU_v25_00328]	NA	0.0000000000
Bacilli sp. [ref_mOTU_v25_00329]	NA	0.0000000000
Bacillus mycoides [ref_mOTU_v25_00330]	1405	0.0000000000
Bacillus sp. [ref_mOTU_v25_00331]	NA	0.0000000000
Bacillus bingmayongensis [ref_mOTU_v25_00332]	1150157	0.0000000000
Bacillus gaemokensis [ref_mOTU_v25_00333]	574375	0.0000000000
Bacillus sp. [ref_mOTU_v25_00334]	NA	0.0000000000
Bacillus cereus [ref_mOTU_v25_00335]	1396	0.0000000000
Bacillus manliponensis [ref_mOTU_v25_00336]	574376	0.0000000000
Staphylococcus xylosus [ref_mOTU_v25_00337]	1288	0.0000000000
Staphylococcus saprophyticus [ref_mOTU_v25_00338]	29385	0.0000000000
Staphylococcus saprophyticus [ref_mOTU_v25_00339]	29385	0.0000000000
Staphylococcus aureus [ref_mOTU_v25_00340]	1280	0.0000000000
Staphylococcus sp. [ref_mOTU_v25_00341]	NA	0.0000000000
Staphylococcus aureus/haemolyticus [ref_mOTU_v25_00342]	NA	0.0000000000
Staphylococcus aureus/haemolyticus [ref_mOTU_v25_00343]	NA	0.0000000000
Bacilli sp. [ref_mOTU_v25_00344]	NA	0.0000000000
Staphylococcus epidermidis [ref_mOTU_v25_00346]	1282	0.0056062630
Staphylococcus warneri/caprae [ref_mOTU_v25_00347]	NA	0.0000000000
Staphylococcus warneri/capitis [ref_mOTU_v25_00348]	NA	0.0000000000
Dermabacter hominis [ref_mOTU_v25_00349]	36740	0.0000000000
