SampleID	taxid_196588	taxid_1119528	taxid_378211	taxid_431059	taxid_287	taxid_1773	taxid_562	taxid_1597	taxid_1346290	taxid_2594003	taxid_1255	taxid_492670	taxid_176291	taxid_1309	taxid_1590	taxid_1452508	taxid_1613	taxid_40324	taxid_34062	taxid_103855	taxid_76775	taxid_237258	taxid_1589	taxid_216816	taxid_1254	taxid_1363	taxid_329	taxid_582	taxid_2560861	taxid_1522316	taxid_339	taxid_936548	taxid_980427	taxid_1580	taxid_84753	taxid_470	taxid_316	taxid_1380362	taxid_38303	taxid_2502236	taxid_573	taxid_1249	taxid_1397	taxid_76773	taxid_83655	taxid_1280	taxid_2490857	taxid_43768	taxid_1911570	taxid_2563920	taxid_1078471	taxid_38304	taxid_1834085	taxid_1545044	taxid_1396	taxid_33889	taxid_1275	taxid_28038	taxid_2135499	taxid_38290	taxid_1330255	taxid_2496847	taxid_1358	taxid_1747	taxid_690417	taxid_43769	taxid_195105	taxid_99480	taxid_1523422
Ca_5	0.002163459	0.099984149	0.006732655	0	0.015385972	0.696452913	0.018677407	0.081801899	0.003379607	0.007338611	0	0	0	0	0	0	0	0	0.010948407	0.004190578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041455982	0	0	0	0	0.001842133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ca_6	0.001425583	0.082208335	0.010133217	0.000556081	0.008395073	0.076459778	0.012677332	0.731650951	0.00164272	0.007956668	0	0.035631978	0	0	0	0.003449114	0	0.007271749	0	0	0.000593092	0	0.002087976	0	0	0	0	0	0	0.000370344	0.000869123	0	0	0.002100995	0	0	0.005481836	0	0	0	0	0.006040885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ca_7	0.000791922	0.017741572	0.001580161	0	0.0018005	0.352306026	0	0.596369931	0	0.001604538	0	0	0	0	0	0	0	0.000386169	0	0.000507963	0.000474285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ca_8	0.001792017	0.185742497	0.022370454	0	0.012586983	0.065383881	0.004503406	0.626865655	0.000843498	0.009160245	0	0	0	0	0	0.015188416	0	0.000896471	0.008198145	0	0.000439208	0	0	0	0	0	0	0	0	0.000350906	0	0	0	0	0	0.003159574	0.009752914	0	0	0	0	0	0	0.000272869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014403774	0	0	0	0	0
Ca_9	0.003156554	0.093407189	0.011020464	0	0.010721877	0.141812443	0.003241018	0.18325002	0.001714211	0.004344185	0.003752206	0	0	0	0	0	0	0.014340627	0.006512704	0.002442491	0.007218651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001181426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013595093	0.015949714	0	0	0	0	0
CIN_1	0	0.00976621	0.000692627	0	0	0.907304975	0.012886982	0.060249005	0	0.004862782	0	0	0	0	0	0	0	0	0.003801476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_10	0	0.062886247	0.006225744	0.001587045	0.004485715	0.693990368	0.041806292	0.048198315	0	0.007201573	0	0	0	0	0	0	0	0	0.043267544	0.005012905	0.003483098	0.023506426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002973359	0	0	0	0	0.000412185	0	0	0	0	0	0.000451662	0	0	0	0	0	0	0.012118465	0	0	0	0	0	0	0	0	0	0	0	0
CIN_11	0	0.014446627	0.012789375	0	0.001126279	0.088103311	0.012186333	0.683027541	0.00056305	0.001757131	0	0.119093963	0.000828018	0	0.005571133	0	0	0	0	0	0	0	0.002576363	0.030980886	0.022755285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_12	0	0.038048902	0.009367069	0	0.002919856	0.188773981	0.03640311	0.120302221	0.002771876	0.004216048	0	0	0	0	0	0	0	0	0.196400753	0.000936683	0.001216169	0	0	0	0	0	0	0	0	0	0.001288238	0	0.00118221	0	0	0	0.014437771	0	0	0	0	0	0	0	0.022452971	0	0	0	0	0.000856933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_13	0	0.004242479	0.000870256	0	0	0.080285748	0	0.750365589	0	0.000960852	0	0.109397286	0.00205486	0	0.011375639	0	0	0.002515404	0	0	0	0.010474268	0.002505143	0	0.005324199	0	0	0	0	0	0.000282841	0	0	0.003838282	0	0	0	0	0	0	0	0.006270396	0	0.000825794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_14	0	0.060026335	0.006983443	0	0.006157327	0.084017836	0	0.12628433	0.001192748	0.011364629	0	0	0	0	0	0	0	0.001485888	0.018507551	0.001528842	0	0	0	0.015651598	0	0	0	0	0	0	0.00325941	0	0	0	0	0	0.003149389	0	0.024222621	0.001510441	0	0	0	0	0	0	0	0	0	0	0	0.008169269	0	0	0	0	0	0	0	0	0.000883294	0	0.011350334	0	0	0.004654286	0	0.003211818	0
CIN_15	0	0.011514583	0.002324464	0	0.000899469	0.296970707	0.033500533	0.01428001	0	0.000959856	0	0	0	0	0	0	0	0	0.010602241	0.000984148	0.003937874	0.012072308	0	0	0	0	0	0	0	0	0.00035682	0	0.001649781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274629197	0	0	0	0	0	0	0.072757639	0.001193334	0	0	0	0
CIN_2	0	0.006013481	0.001247203	0	0	0.507776446	0.019511009	0.266582755	0	0.001518351	0	0	0	0	0	0	0	0	0.036270526	0	0.000910934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014198359	0.003988319	0	0	0	0	0	0	0.000297263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004449143	0.082954644	0	0	0	0	0
CIN_3	0	0.006732574	0	0	0	0.088711099	0	0.753187759	0	0.001583044	0	0.116019579	0.001304648	0	0.013304398	0	0	9.06461E-05	0	0	0	0	0.003984884	0	0.003116245	0	0	0	0	0	0.001234132	0	0	0.006109621	0	0	0	0	0	0	0	0.004621371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_4	0	0.02324692	0.005475398	0	0	0.151516032	0.038053482	0.163037432	0.000989562	0.002987281	0	0	0	0	0	0	0	0.006984068	0.024305213	0.000812881	0.000721979	0	0	0.010104875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010540884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007153907	0	0	0	0	0	0	0	0
CIN_5	0	0.083860532	0.012242636	0	0.012702029	0.721303684	0.01157857	0.065727927	0.00292577	0.006273016	0	0	0	0	0	0	0	0	0.03373265	0.005450889	0.005526248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005696068	0	0	0	0	0	0	0.000564668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_6	0	0.006839374	0	0	0	0.137807709	0	0.649873186	0	0	0	0.142260421	0.001388139	0	0.013556351	0	0	0	0	0	0	0	0.00354691	0	0.007101628	0	0	0	0	0	0.000415432	0	0	0.007235884	0	0	0	0	0	0	0	0.007949259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_7	0	0.01213342	0.001110215	0	0.000356467	0.096199692	0.00664937	0.636643379	0.000364631	0.001264446	0	0	0	0	0	0	0	0	0.010399886	0.000179502	0.002026767	0	0	0	0	0	0	0	0.000126775	0	0	0	0	0	0	0	0.000600926	0	0	0	0	0	0	0.001206881	0	0	0	0	0	0.000166132	0	0.004107836	0	0.000785438	0	0	0	0.000472956	0	0	0	0	0.002661085	0.070346532	0	0	0.000785645	0	0
CIN_8	0	0.043177589	0.005635057	0	0.006299644	0.142247624	0.036552724	0.349772837	0	0.00653897	0	0	0	0	0	0	0	0.001365071	0.0168092	0	0.000577617	0.010396952	0	0	0	0	0	0	0	0	0	0	0.000843215	0	0	0	0.000332624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN_9	0	0.003050722	0.000640441	0	0	0.024533276	0.013032799	0.270947771	0	0.000965854	0.001817182	0	0	0	0	0	0	0.011675681	0.033590693	0	0.000749128	0	0	0.001268135	0	0	0	0	0	0	0.000265224	0	0	0.00113475	0	0	0.000421052	0	0.001660025	0	0	0.002377799	0	0.000188788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017721251	0	0.000285193	0	0	0	0
Nor_1	0	0.019051847	0.00129386	0.000388841	0.002388302	0.054756369	0.003456418	0.865730318	0.000632065	0.006949639	0	0	0.000391162	0.006627313	0.007467317	0	0	0	0.004038964	0.000469368	0.000371334	0	0.004536321	0	0.001242635	0	0.000592436	0	0.000207848	0.000163729	0.000256868	0	0	0	0	0	0.000850568	0.000978872	0	0	0	0.00227454	0	0	0	0	0.000192438	0	0	0	0	0	0	0	0	0	0	0	0	0.001336617	0	0	0	0	0.000390284	0	0	0	0
Nor_10	0	0.007599584	0	0	0	0.514727248	0.044591205	0.047593303	0	0.002387261	0	0	0	0	0	0	0	0	0.246076227	0	0.001172106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000478604	0	0	0	0.000216361	0	0	0	0	0	0	0	0	0	0	0	0.002235225	0	0	0
Nor_11	0	0.004597245	0.000386804	8.80954E-05	0.0004317	0.016878219	0.002856627	0.865687503	0	0.000838798	0.002133278	0.052616299	0	0	0.005474542	0	0.00170037	0.000334315	0.011043676	0	7.23921E-05	0	0.001740093	0	0.001349701	0	0	0	0	0	0	0	0	0.003535258	0	0	0.00024879	0	0	0	0	0.004611501	0	0	0	0	0	0	0	0.000116475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026907
Nor_12	0	0.000557199	6.93888E-05	0	7.32827E-05	0.019193778	0.000762682	0.907733458	0	6.5525E-05	0	0	0	0.001018587	0	0	0.000927305	0.000101563	0.000418834	0	8.42453E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000319603	0	0	0	0	7.57631E-05	3.80094E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130526	0	0	0	0.000701169	0	0	0	0	0.003741862	0.000739919	4.58261E-05	0	0	0	0
Nor_13	0	0.001770271	0.000219494	2.56314E-05	0.000221739	0.001906723	0.0011227	0.985414208	0	0.000467087	0.000992025	0	0	0	0	0	0	0.000144249	0.001083927	0	3.73451E-05	0	0	0	0	0	0	0	0	0	5.72365E-05	0	0.002294451	0	0	0	0.000206219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000361309	0	0	0	0	0	0	0	0	0	0	0	0.000299476	0	0	0	0
Nor_14	0	0.001767779	0.000205406	6.01287E-05	0.000345721	0.001529682	0.001851722	0.364969817	2.37126E-05	0.000528952	0.001967311	0	0	0	0	0	0.001340896	0.008122988	0.003260929	0	6.30415E-05	0	0	0.00032484	0	0.00051202	0	0.000444729	2.22499E-05	0	5.73405E-05	0	0	0.001793885	2.37771E-06	0.000114204	0.000157774	0	0	0	0	0.003623961	0.000242351	0	0.000229407	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158138	0	0	0	0.027582669	0	0.001008455	0	0	0	0
Nor_15	0.000295602	0.028800879	0.00146076	0.000366921	0.001548043	0.131622502	0.008084221	0.365256159	0.000421185	0.002594482	0.020156916	0.077914939	0.000656682	0	0.006429657	0	0	0	0.00498345	0.000783569	0.001758415	0	0.003657226	0	0.006851194	0.021418784	0	0	0.000251542	0	0	0	0	0.006710609	0	0	0.001706696	0	0.001957237	0.000630901	0	0.003134663	0	0.000119848	0	0	0	0	0	0	0	0	0	0	0.000363339	0.000325904	0	0	0	0	0	0	0.026039684	0	0	0	0	0.000134891	0
Nor_2	0	0.002510129	0.000339181	0.000128092	0.000127488	0.054098747	0.004123844	0.851670934	0	0.001022399	0	0	0	0	0	0	0	0	0.001873079	0	0.000101333	0	0	0	0	0.000468105	0	0	0	0	0	0	0	0.000380941	0	0.002245562	0.00040975	0	0	0	0	0	0	6.58506E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000723112	0	0	0	0	0.002104472	0	0	0	0	0	0
Nor_3	0	0.006358532	0.000644162	0.000134717	0	0.039390762	0.003650853	0.938202543	0	0.001871746	0.00174284	0	0	0	0	0	0	0	0.002176982	0	8.40764E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001102953	0	0	0	0	0	0	0	0	0	0	0	0	7.5584E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001160218	0.002719116	0	0	0
Nor_4	0	0.005123233	0.000659112	0.000122439	7.19809E-05	0.03381461	0.003038763	0.313153193	0	0.001621252	0.001997755	0	0	0.000818751	0	0.000382039	0	0.01227176	0.010659637	0	0.000219702	0	0	0.000383577	0	0	0	0.000411773	0.000178242	0	0	0	0	0.002127537	0	0	0.000916256	0	0.000655458	0	0	0.000996923	0.001161575	0	0.000173223	0	0	0	0	5.49126E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.026287481	0.009328102	0	0	0	0	0
Nor_5	0	0.001829477	0.000279686	0.000529134	0	0.127838141	0.013363155	0.025790958	0	0.000445682	0	0	0	0	0	0	0	0.000381479	0.022966376	0	0.001999989	0	0.000627032	0	0	0	0.000827135	0	0	0	0.001108733	0	0	0	0	0.011880958	0	0.001232007	0	0.00152558	0.024348792	0	0	0.00015069	0	0	0.003881901	0.001483434	0	0	0.000510997	0	0	0.001009257	0	0	0	0	0.003522122	0	0	0	0	0.042662752	0.000387054	0	0	0	0
Nor_6	0	0.000719743	0	0.000383266	0.000418117	0.178121801	0.008846006	0.671019962	0	0	0	0	0	0	0.004707091	0	0	0.001188483	0.064513806	0	0.000962511	0	0.001250957	0.000672421	0.003031773	0	0.000886717	0	0	0	0.007324997	0	0	0	0	0.000694528	0	0.001061664	0	0.000376695	0	0	0	0.000527851	0	0	0	0.003589173	0	0.000140588	0	0	0.000295915	0	0	0.000795835	0	0	0	0	0	0	0	0.027812284	0.000660291	0	0	0	0
Nor_7	0	0.000424887	4.52514E-05	3.63722E-05	0	0.016598337	0.00094306	0.912460752	0	7.46755E-05	0	0	0	0.001995092	0	0	0	0	0.000651125	0	2.37471E-05	0	0	0	0	0.000386853	0	0.000287523	0	0	0	0	0	0	0	0.000611955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093408	0	0	0	0	0.00615688	0	0	0	0	0	0
Nor_8	0	0.000304755	9.5456E-05	3.57762E-05	0	0.001588496	0.002391792	0.922062316	0	0.000162418	0.002218636	0	0	0	0	0	0	9.54806E-05	0.001524138	0	0.00030931	0	0	0.000123788	0	0	0	0	0	0	0	0	0.002117136	0	0	0	0	0	0	0	0	0	0	0.000139135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000124086	0	0	0.002210362	0	0.000123878	6.09697E-05	0	0	7.42564E-05
Nor_9	0	0.000593477	9.54214E-05	6.28142E-05	0.000291412	0.001867379	0.003815628	0.342837245	1.85985E-05	0.000250586	0.002263234	0.01776259	0	0	0	0	0	0.00422777	0.014568627	0	0.000203857	0	0	0.000277766	0.000451453	0	0	0.000639933	0	1.33995E-05	8.73187E-05	0	0	0.002282546	0	0.002869386	0.000152966	0	0.000121942	0	0	0.002524173	0.000547664	3.11389E-05	0.000575654	0	0	0	0	4.80031E-05	0	0	0	0	0.000537262	0	0	0	0	0.000146501	0	0	0.034792979	0	0.000113279	0	0	0	0
